Firm,Date,Source,URL,Sub-Asset Class,Asset Class Category,Canva Groupings,Asset Class,View,Full Commentary,confidence,band,review_flag,basis,checker_strength,call_language,quote_match
AllianceBernstein,30/06/2026,Multi-Asset Midyear Outlook: Fortitude Amid Disruption,https://www.alliancebernstein.com/corporate/en/insights/investment-insights/multi-asset-midyear-outlook-fortitude-amid-disruption.html,Equities - General,Asset Allocation - Broad,Asset Allocation,Equities,O,"AB recommends an equity overweight, anchored by US AI exposure, earnings strength, profitability and economic resilience. Evidence: Overweight equities, with a US preference. We think equity exposure should favor the US, with its AI exposure, stronger earnings and profitability and more resilient economy.. Locator: p.5. Evidence check: visual verifier confirmed the quote verbatim on the rendered source page; confidence capped and review required.",74,Medium,review,stated,decisive,explicit_stance,visual
AllianceBernstein,30/06/2026,Multi-Asset Midyear Outlook: Fortitude Amid Disruption,https://www.alliancebernstein.com/corporate/en/insights/investment-insights/multi-asset-midyear-outlook-fortitude-amid-disruption.html,US Equities,Equities - DMs,Equities - Geography,Equities,O,"AB says equity exposure should favor the US because of AI exposure, stronger earnings and profitability, and a more resilient economy. Evidence: Overweight equities, with a US preference. We think equity exposure should favor the US, with its AI exposure, stronger earnings and profitability and more resilient economy.. Locator: p.5. Evidence check: visual verifier confirmed the quote verbatim on the rendered source page; confidence capped and review required.",74,Medium,review,stated,decisive,directional,visual
AllianceBernstein,30/06/2026,Multi-Asset Midyear Outlook: Fortitude Amid Disruption,https://www.alliancebernstein.com/corporate/en/insights/investment-insights/multi-asset-midyear-outlook-fortitude-amid-disruption.html,Emerging Markets Equities,Equities - EMs,Equities - Geography,Equities,O,"AB is constructive on emerging-market equity exposure as a way to access the AI value chain, with some earnings revisions improving. Evidence: Emerging markets and Japan offer access to the AI value chain, and earnings revisions are improving in certain sectors.. Locator: p.5. Checker: evidence_strength thin — quoted evidence supports the view only just; confidence capped below High and review required. Checker: checker evidence_strength is thin; confidence capped below High and review required.",74,Medium,review,stated,thin,directional,normalized
AllianceBernstein,30/06/2026,Multi-Asset Midyear Outlook: Fortitude Amid Disruption,https://www.alliancebernstein.com/corporate/en/insights/investment-insights/multi-asset-midyear-outlook-fortitude-amid-disruption.html,Japan Equities,Equities - DMs,Equities - Geography,Equities,O,"AB points to Japan as an equity market offering access to the AI value chain, with improving revisions in some sectors. Evidence: Emerging markets and Japan offer access to the AI value chain, and earnings revisions are improving in certain sectors.. Locator: p.5. Checker: evidence_strength thin — quoted evidence supports the view only just; confidence capped below High and review required. Checker: checker evidence_strength is thin; confidence capped below High and review required.",74,Medium,review,stated,thin,directional,normalized
AllianceBernstein,30/06/2026,Multi-Asset Midyear Outlook: Fortitude Amid Disruption,https://www.alliancebernstein.com/corporate/en/insights/investment-insights/multi-asset-midyear-outlook-fortitude-amid-disruption.html,Gold/Precious,Alts - Commodities,Commodities,Alternatives,O,AB presents gold as a defensive allocation that can help portfolio resilience. Evidence: Lower-beta stocks and gold may also help defense.. Locator: p.5.,75,High,none,stated,adequate,directional,normalized
AllianceBernstein,30/06/2026,Multi-Asset Midyear Outlook: Fortitude Amid Disruption,https://www.alliancebernstein.com/corporate/en/insights/investment-insights/multi-asset-midyear-outlook-fortitude-amid-disruption.html,USD,Currencies,Currencies,Currencies,U,AB acknowledges the dollar's recent defensive role but states a longer-term view for dollar weakening. Evidence: Exposure to the US dollar also helped defend during volatility this year (though our longer-term view is for dollar weakening).. Locator: p.5.,79,High,none,stated,decisive,directional,normalized
AllianceBernstein,30/06/2026,Multi-Asset Midyear Outlook: Fortitude Amid Disruption,https://www.alliancebernstein.com/corporate/en/insights/investment-insights/multi-asset-midyear-outlook-fortitude-amid-disruption.html,Duration,Fixed Income - Duration,Fixed Income - General,Fixed Income,U,"AB recommends underweighting duration because stagflation risk and tighter policy may keep yields elevated, while noting UK markets may be too hawkish. Evidence: Underweight duration but tap income. Duration could be less diversifying, with stagflation worries and expected tighter monetary policy likely to keep yields elevated, though the market seems too hawkish in the UK.. Locator: p.5. Evidence check: visual verifier confirmed the quote verbatim on the rendered source page; confidence capped and review required.",74,Medium,review,stated,decisive,explicit_stance,visual
AllianceBernstein,30/06/2026,Multi-Asset Midyear Outlook: Fortitude Amid Disruption,https://www.alliancebernstein.com/corporate/en/insights/investment-insights/multi-asset-midyear-outlook-fortitude-amid-disruption.html,Fixed Income - General/Global,Asset Allocation - Broad,Asset Allocation,Fixed Income,O,"AB sees higher yields as creating compelling income potential even while staying underweight duration. Evidence: Higher overall yields offer compelling potential for income seekers.. Locator: p.5. Checker: unconfirmed (Quote only says higher yields are attractive for income seekers; it doesn't clearly name a broad 'Fixed Income - General/Global' overweight distinct from the underweighted-duration stance, so the leaf pairing requires an inferential step.).",74,Medium,review,stated,thin,directional,exact
AllianceBernstein,30/06/2026,Multi-Asset Midyear Outlook: Fortitude Amid Disruption,https://www.alliancebernstein.com/corporate/en/insights/investment-insights/multi-asset-midyear-outlook-fortitude-amid-disruption.html,Real Assets,Asset Allocation - Broad,Alts - Real Assets,Alternatives,O,"AB lists real assets as inflation-protection building blocks if the energy shock persists or volatility rises. Evidence: Real assets, commodities, gold and option protection are building blocks that could help if the energy shock lasts or volatility rises.. Locator: p.5.",85,High,none,stated,adequate,directional,normalized
AllianceBernstein,30/06/2026,Multi-Asset Midyear Outlook: Fortitude Amid Disruption,https://www.alliancebernstein.com/corporate/en/insights/investment-insights/multi-asset-midyear-outlook-fortitude-amid-disruption.html,Commodities,Alts - Commodities,Commodities,Alternatives,O,"AB identifies commodities as a useful inflation-protection building block if energy shocks or volatility continue. Evidence: Real assets, commodities, gold and option protection are building blocks that could help if the energy shock lasts or volatility rises.. Locator: p.5.",85,High,none,stated,adequate,directional,normalized
