Firm,Title,Source Link
Aberdeen Investments,May 2026 EMD review and outlook: resilience amid shifting geopolitics,https://www.aberdeeninvestments.com/en-gb/professional/insights-and-research/may-2026-emd-review-and-outlook-resilience-amid-shifting-geopolitics
Aberdeen Investments,"House View: staying invested, but trimming risk after the rebound",https://www.aberdeeninvestments.com/en-gb/professional/insights-and-research/House-View-staying-invested-but-trimming-risk-after-the-rebound
Aberdeen Investments,Macro: finding conviction in a world of higher geopolitical risk,https://www.aberdeeninvestments.com/en-gb/professional/insights-and-research/Macro-finding-conviction-in-a-world-of-higher-geopolitical-risk
Aberdeen Investments,"Equities: quality investing — tested, questioned and still relevant",https://www.aberdeeninvestments.com/en-gb/professional/insights-and-research/Equities-Quality-investing-tested-questioned-and-still-relevant
Aberdeen Investments,"Equities: AI rivalry — shared ambition, different paths",https://www.aberdeeninvestments.com/en-gb/professional/insights-and-research/Equities-AI-rivalry-shared-ambition-different-paths
Aberdeen Investments,Fixed Income: why short-dated bonds can build resilience in uncertain markets,https://www.aberdeeninvestments.com/en-gb/professional/insights-and-research/Fixed-Income-why-short-dated-bonds-can-build-resilience-in-uncertain-markets
Aberdeen Investments,Real Assets: why space and time matter more than ever,https://www.aberdeeninvestments.com/en-gb/professional/insights-and-research/Real-Assets-why-space-and-time-matter-more-than-ever
AEW,2026 Mid-Year European Outlook: European Real Estate Recovery Can Withstand Pressure From Middle East Conflict,https://www.aew.com/site-assets/documents/April-2026-Mid-year-outlook_EN.pdf
AllianceBernstein,"Equity Outlook: Middle East War, Energy Shock Test Fragile Markets",read://https_www.alliancebernstein.com/?url=https%3A%2F%2Fwww.alliancebernstein.com%2Fgb%2Fen-gb%2Finstitutions%2Finsights%2Finvestment-insights%2Fequity-outlook-middle-east-war-energy-shock-test-fragile-markets.html
CI Global Asset Management,Bank of Canada (BoC) Holds Steady Amid Two-Sided Outlook,https://eng4e.seismic.com/i/CrQTQrSKBuZUrJX___UHUSPSKh55Vaaxzwcp4OB5d57eOql0OqJrkmOnska6PLUSSIGNOPLUSSIGNgB7GXCphlg1OTAmEsAPLUSSIGNsKDE1Z1rpzDJ9SPLUSSIGNp0fT___FeJsPLUSSIGNJOaEJRvP80IsENemfOJ7ph___
Columbia Threadneedle Investments,Midyear Equity Outlook: Earnings strength fuels optimism,https://www.columbiathreadneedle.com/en/gb/institutional/insights/midyear-equity-outlook-earnings-strength-fuels-optimism/
Columbia Threadneedle Investments,"Midyear Fixed-Income Outlook: Tighter spreads, wider opportunities",https://www.columbiathreadneedle.com/en/gb/institutional/insights/midyear-fixed-income-outlook-tighter-spreads-wider-opportunities/
Columbia Threadneedle Investments,"Midyear Macro Outlook: Persistence, perception and the path ahead for markets",https://www.columbiathreadneedle.com/en/gb/institutional/insights/midyear-macro-outlook-persistence-perception-and-the-path-ahead-for-markets/
Eastspring Investments,Q2 2026 Outlook: Tactically risk-on amid a fragile geopolitical backdrop,https://www.eastspring.com/docs/librariesprovider6/our-perspectives/market-outlook/2026/q2-2026-quarterly-market-outlook_global.pdf
Federated Hermes,Eurozone outlook darkens amid energy crunch,https://www.hermes-investment.com/uk/en/institutions/insights/liquidity/eurozone-outlook-darkens-amid-energy-crunch/
Guggenheim Investments,June 2026 Economic Outlook and Key Themes,https://portal.guggenheiminvestments.com/GuggenheimInvestments/media/PDF/Economic-Outlook-and-Key-Themes-Monthly-Commentary.pdf
Impax Asset Management,Mid-Year Credit Outlook 2026,https://impaxam.com/assets/pdfs/reports/mid-year-credit-outlook-2026.pdf?pwm=9893
Impax Asset Management,Mid-Year Equities Outlook 2026,https://impaxam.com/assets/pdfs/reports/mid-year-equities-outlook-2026.pdf?pwm=1764
Invesco,2026 Midyear Investment Outlook - Asia Equities,https://www.invesco.com/apac/en/institutional/insights/equity/asia-equities-outlook.html
Invesco,2026 Midyear Investment Outlook – Asia Fixed Income: High Yield,https://www.invesco.com/apac/en/institutional/insights/fixed-income/asia-hy-outlook.html
Invesco,2026 Midyear Investment Outlook – Asia Fixed Income: Investment Grade,https://www.invesco.com/apac/en/institutional/insights/fixed-income/asia-ig-outlook.html
Invesco,2026 Midyear Investment Outlook – China Equities,https://www.invesco.com/apac/en/institutional/insights/equity/china-equities-outlook.html
Invesco,2026 Midyear Investment Outlook – Japan Equities,https://www.invesco.com/apac/en/institutional/insights/equity/japan-equities-outlook.html
Invesco,2026 midyear outlook: A world disrupted? Resilience endures.,https://www.invesco.com/content/dam/invesco/apac/en/pdf/insights/2026/june/invesco-2026-mid-year-investment-outlook-june-2026.pdf
J.P. Morgan Asset Management,Mid-Year Investment Outlook 2026: Enough fuel in the engine,https://am.jpmorgan.com/content/dam/jpm-am-aem/global/en/insights/market-insights/investment-outlook-2026-uk.pdf?_gl=1*rhnpms*_up*MQ..*_ga*MjI0Njk5ODUyLjE3ODIzMDE0ODc.*_ga_SLLWW8GS4N*czE3ODIzMDE0ODckbzEkZzAkdDE3ODIzMDE0ODckajYwJGwwJGgw
Janus Henderson Investors,Multi-Sector Credit Asset Allocation Perspectives: Defensive carry amid asymmetric risks,https://cdn.janushenderson.com/webdocs/Multi%2520Sector%2520Credit%2520Asset%2520Allocation%2520Perspectives%2520Q2%25202026.pdf
KKR,Mid-Year Outlook for 2026: The Divergence Conundrum,https://www.kkr.com/content/dam/kkr/insights/pdf/2026-mid-year-outlook.pdf
