Firm,original_leaf,canonical_leaf,row_view,row_source,row_date,join_type,candidate_generation_rule,token_overlap,relationship_verdict,mapping_action,review_required,mapping_reason
Aberdeen Investments,LatAm Fixed Income,,O,"House View: staying invested, but trimming risk after the rebound",05/05/2026,near_leaf,structural,0.5000,distinct,kept,false,The firm 'prefers Latin American fixed income' — a distinct positive LatAm call separate from its Asia stance.
Aberdeen Investments,Asia Fixed Income,,U,"House View: staying invested, but trimming risk after the rebound",05/05/2026,near_leaf,structural,0.5000,distinct,kept,false,The firm is 'relatively negative on Asian fixed income' because 'the Iran shock may hit Asia harder' — a genuinely separate geographic call.
Aberdeen Investments,EM Debt - General,,O,May 2026 EMD review and outlook: resilience amid shifting geopolitics,15/06/2026,near_leaf,structural,0.6000,distinct,kept,false,"This is the broad EMD umbrella framed 'positive but cautious', not the same call as the specific hard- or local-currency sleeves."
Aberdeen Investments,EM Debt - Hard Currency,,O,May 2026 EMD review and outlook: resilience amid shifting geopolitics,15/06/2026,near_leaf,structural,0.6000,distinct,kept,false,"'We continue to see value in EM hard-currency debt, particularly across high yield and frontier issuers' is a specific hard-currency call."
Aberdeen Investments,EM Debt - Local Currency,,O,"May 2026 EMD review and outlook: resilience amid shifting geopolitics | House View: staying invested, but trimming risk after the rebound",15/06/2026 | 05/05/2026,near_leaf,structural,0.6000,distinct,kept,false,"'In EM local markets, real yields remain attractive ... local markets continue to offer attractive carry' is a distinct local-currency call."
Aberdeen Investments,Private Infrastructure,Private Infrastructure,O,"House View: staying invested, but trimming risk after the rebound | Macro: finding conviction in a world of higher geopolitical risk | Real Assets: why space and time matter more than ever",05/05/2026,near_leaf,structural,0.5000,same_claim,winner,true,"Both draw from the same House View 'Global Infra — Positive' entry, with row 1 only refining that 'Focus in small/mid cap where valuations are more attractive' within the same positive infrastructure call."
Aberdeen Investments,Private Infrastructure - Mid-Cap,Private Infrastructure,O,"House View: staying invested, but trimming risk after the rebound",05/05/2026,near_leaf,structural,0.5000,same_claim,merged,true,"Both draw from the same House View 'Global Infra — Positive' entry, with row 1 only refining that 'Focus in small/mid cap where valuations are more attractive' within the same positive infrastructure call."
Aegon Asset Management,US Bank Loans,,O,2026 Global Fixed income mid-year outlook,07/07/2026,near_leaf,structural,0.6667,distinct,kept,false,'we see the current entry point as attractive ... high starting coupons are still compensating investors nicely' is a specific positive US bank-loan valuation call.
Aegon Asset Management,Bank Loans,,N,2026 Global Fixed income mid-year outlook,07/07/2026,near_leaf,structural,0.6667,distinct,kept,false,"'Loans are more mixed: New issue supply has stayed healthy, but softer sentiment' is a separate broad-loans neutral view on a different page."
Aegon Asset Management,Duration,,U,2026 Global Fixed income mid-year outlook,07/07/2026,near_leaf,structural,0.5000,distinct,kept,false,'returns are likely to be driven less by broad-based duration exposure' with pressure 'particularly at the long end' is a cautious broad/long-duration call.
Aegon Asset Management,Duration - Short,,O,2026 Global Fixed income mid-year outlook,07/07/2026,near_leaf,structural,0.5000,distinct,kept,false,"'short interest-rate-duration assets are likely to outperform' is the opposite, distinct short-duration call."
Aegon Asset Management,EM Debt - General,,O,2026 Global Fixed income mid-year outlook,07/07/2026,near_leaf,structural,0.6000,distinct,kept,false,"The 'Fixed income overview heatmap' positive tilt is the broad EMD umbrella, not the currency-specific calls."
Aegon Asset Management,EM Debt - Hard Currency,,O,2026 Global Fixed income mid-year outlook,07/07/2026,near_leaf,structural,0.6000,distinct,kept,false,'we favor US dollar-denominated emerging markets debt over local currency exposure' is a specific positive hard-currency call.
Aegon Asset Management,EM Debt - Local Currency,,U,2026 Global Fixed income mid-year outlook,07/07/2026,near_leaf,structural,0.6000,distinct,kept,false,'the outlook for foreign exchange is less supportive ... limiting the upside for local currency returns' is a distinct cautious local-currency call.
Aegon Asset Management,Europe IG Credit,,U,2026 Global Fixed income mid-year outlook,07/07/2026,near_leaf,structural,0.5000,distinct,kept,false,'credit spreads as being at the tight end ... modest widening is likely' is a cautious European IG call.
Aegon Asset Management,UK IG Credit,,N,2026 Global Fixed income mid-year outlook,07/07/2026,near_leaf,structural,0.5000,distinct,kept,false,'Credit spreads in the UK may be more exposed to periods of rate volatility ... supply dynamic in the UK market remains favorable' is a separate mixed UK IG call.
Aegon Asset Management,US IG Credit,,U,2026 Global Fixed income mid-year outlook,07/07/2026,near_leaf,structural,0.5000,distinct,kept,false,'Risk/reward is skewed to spread widening' names US IG specifically as a distinct cautious call.
