Firm,Title,Source Link,local_file
AllianceBernstein,"Equity Outlook: Middle East War, Energy Shock Test Fragile Markets",read://https_www.alliancebernstein.com/?url=https%3A%2F%2Fwww.alliancebernstein.com%2Fgb%2Fen-gb%2Finstitutions%2Finsights%2Finvestment-insights%2Fequity-outlook-middle-east-war-energy-shock-test-fragile-markets.html,client-runs/runs-07072026-98rows/manual-sources/alliancebernstein-equity-outlook.pdf
Impax Asset Management,Mid-Year Credit Outlook 2026,https://impaxam.com/assets/pdfs/reports/mid-year-credit-outlook-2026.pdf?pwm=9893,
Impax Asset Management,Mid-Year Equities Outlook 2026,https://impaxam.com/assets/pdfs/reports/mid-year-equities-outlook-2026.pdf?pwm=1764,
AllianceBernstein,Multi-Asset Midyear Outlook: Fortitude Amid Disruption,https://www.alliancebernstein.com/corporate/en/insights/investment-insights/multi-asset-midyear-outlook-fortitude-amid-disruption.html,client-runs/runs-07072026-98rows/manual-sources/alliancebernstein-multi-asset-midyear-outlook.pdf
AllianceBernstein,Municipal Midyear Outlook: Room to Run as Demand Drives the Market,https://www.alliancebernstein.com/corporate/en/insights/investment-insights/municipal-midyear-outlook-room-to-run-as-demand-drives-the-market.html,client-runs/runs-07072026-98rows/manual-sources/alliancebernstein-municipal-midyear-outlook.pdf
AllianceBernstein,Global Macro Outlook: Third Quarter 2026,https://www.alliancebernstein.com/corporate/en/insights/economic-perspectives/global-macro-outlook-third-quarter-2026.html,client-runs/runs-07072026-98rows/manual-sources/alliancebernstein-global-macro-outlook-q3-2026.pdf
AllianceBernstein,Fixed-Income Midyear Outlook: Six Ways to Put Volatility to Work,https://www.alliancebernstein.com/corporate/en/insights/investment-insights/fixed-income-mid-year-outlook-six-ways-to-put-volatility-to-work.html,client-runs/runs-07072026-98rows/manual-sources/alliancebernstein-fixed-income-midyear-outlook.pdf
AllianceBernstein,Private Credit Midyear Outlook: Tuning Out the Noise,https://www.alliancebernstein.com/corporate/en/insights/investment-insights/private-credit-outlook-tuning-out-the-noise.html,client-runs/runs-07072026-98rows/manual-sources/alliancebernstein-private-credit-midyear-outlook.pdf
AllianceBernstein,Equity Outlook: AI Enthusiasm Leaves Little Margin for Error,https://www.alliancebernstein.com/corporate/en/insights/investment-insights/equity-outlook-ai-enthusiasm-leaves-little-margin-for-error.html,client-runs/runs-07072026-98rows/manual-sources/alliancebernstein-equity-outlook-ai-enthusiasm.pdf
Seviora,2026 Mid-Year Investment Outlook,https://staging.sevioragroup.com/dev/file/download?id=2074380591378063362,client-runs/runs-07072026-98rows/manual-sources/seviora-2026-mid-year-investment-outlook.pdf
