Id,Firm,Title,Published At,Source Link,
286213,Aberdeen Investments,May 2026 EMD review and outlook: resilience amid shifting geopolitics,15/06/2026 00:00:00,https://www.aberdeeninvestments.com/en-gb/professional/insights-and-research/may-2026-emd-review-and-outlook-resilience-amid-shifting-geopolitics,https://www.aberdeeninvestments.com/en-gb/professional/insights-and-research/may-2026-emd-review-and-outlook-resilience-amid-shifting-geopolitics
,Aberdeen Investments,"House View: staying invested, but trimming risk after the rebound",,https://www.aberdeeninvestments.com/en-gb/professional/insights-and-research/House-View-staying-invested-but-trimming-risk-after-the-rebound,
,Aberdeen Investments,Macro: finding conviction in a world of higher geopolitical risk,,https://www.aberdeeninvestments.com/en-gb/professional/insights-and-research/Macro-finding-conviction-in-a-world-of-higher-geopolitical-risk,
,Aberdeen Investments,"Equities: quality investing — tested, questioned and still relevant",,https://www.aberdeeninvestments.com/en-gb/professional/insights-and-research/Equities-Quality-investing-tested-questioned-and-still-relevant,
,Aberdeen Investments,"Equities: AI rivalry — shared ambition, different paths",,https://www.aberdeeninvestments.com/en-gb/professional/insights-and-research/Equities-AI-rivalry-shared-ambition-different-paths,
,Aberdeen Investments,Fixed Income: why short-dated bonds can build resilience in uncertain markets,,https://www.aberdeeninvestments.com/en-gb/professional/insights-and-research/Fixed-Income-why-short-dated-bonds-can-build-resilience-in-uncertain-markets,
,Aberdeen Investments,Real Assets: why space and time matter more than ever,,https://www.aberdeeninvestments.com/en-gb/professional/insights-and-research/Real-Assets-why-space-and-time-matter-more-than-ever,
280944,AEW,2026 Mid-Year European Outlook: European Real Estate Recovery Can Withstand Pressure From Middle East Conflict,01/04/2026 00:00:00,https://www.aew.com/site-assets/documents/April-2026-Mid-year-outlook_EN.pdf,https://www.aew.com/site-assets/documents/April-2026-Mid-year-outlook_EN.pdf
279879,AllianceBernstein,"Equity Outlook: Middle East War, Energy Shock Test Fragile Markets",09/04/2026 00:00:00,read://https_www.alliancebernstein.com/?url=https%3A%2F%2Fwww.alliancebernstein.com%2Fgb%2Fen-gb%2Finstitutions%2Finsights%2Finvestment-insights%2Fequity-outlook-middle-east-war-energy-shock-test-fragile-markets.html,read://https_www.alliancebernstein.com/?url=https%3A%2F%2Fwww.alliancebernstein.com%2Fgb%2Fen-gb%2Finstitutions%2Finsights%2Finvestment-insights%2Fequity-outlook-middle-east-war-energy-shock-test-fragile-markets.html
285888,CI Global Asset Management,Bank of Canada (BoC) Holds Steady Amid Two-Sided Outlook,10/06/2026 00:00:00,https://eng4e.seismic.com/i/CrQTQrSKBuZUrJX___UHUSPSKh55Vaaxzwcp4OB5d57eOql0OqJrkmOnska6PLUSSIGNOPLUSSIGNgB7GXCphlg1OTAmEsAPLUSSIGNsKDE1Z1rpzDJ9SPLUSSIGNp0fT___FeJsPLUSSIGNJOaEJRvP80IsENemfOJ7ph___,https://eng4e.seismic.com/i/CrQTQrSKBuZUrJX___UHUSPSKh55Vaaxzwcp4OB5d57eOql0OqJrkmOnska6PLUSSIGNOPLUSSIGNgB7GXCphlg1OTAmEsAPLUSSIGNsKDE1Z1rpzDJ9SPLUSSIGNp0fT___FeJsPLUSSIGNJOaEJRvP80IsENemfOJ7ph___
