Entity Name,Title (inc. MR link),Date,External link
Aberdeen Investments,Emerging Markets Q2 2026 Outlook: Shifting Sands,3/10/2026,https://www.aberdeeninvestments.com/en-us/institutional/insights-and-research/emerging-markets-q2-2026-outlook-shifting-sands
AGF Investments,Asset Allocation Committee’s Q2 2026 Update: Boosting Exposure to Canada,4/22/2026,https://perspectives.agf.com/asset-allocation-committees-q2-2026-update-boosting-exposure-to-canada/
AHAM Asset Management Berhad,Q2'2026 Market Outlook | Managing Converging Risks,4/1/2026,https://aham.com.my/insights/articles-commentaries/q22026-market-outlook-managing-converging-risks
AllianceBernstein,Global Macro Outlook: Second Quarter 2026,4/2/2026,https://www.alliancebernstein.com/gb/en-gb/financial-intermediary/insights/economic-perspectives/global-macro-outlook-second-quarter-2026.html
AllianceBernstein,Fixed-Income Outlook: From Oil Shock to Oil Spillover?,4/9/2026,https://www.alliancebernstein.com/apac/en/institutions/insights/investment-insights/fixed-income-outlook-from-oil-shock-to-oil-spillover.html
AllianceBernstein,"Equity Outlook: Middle East War, Energy Shock Test Fragile Markets",4/9/2026,https://www.alliancebernstein.com/americas/en/institutions/insights/investment-insights/equity-outlook-middle-east-war-energy-shock-test-fragile-markets.html
Allianz Global Investors,House View Q2 2026: Holding the line,3/30/2026,https://www.allianzgi.com/en/insights/house-view-q2-2026?sc_camp=4191856015CA403AA0EE1574F5C8F98B
Allspring Global Investments,Macro Matters: Geopolitics Dominates Narratives—for Now,4/1/2026,https://www.allspringglobal.com/insights/articles/macro-matters-geopolitics-dominates-narrativesfor-now/
American Century Investments,"2026 Global Macro Outlook: Growth, Inflation, Yields",3/30/2026,https://www.americancentury.com/plan/investment-outlook/global-macroeconomic/
Amova Asset Management,Global Investment Strategy Committee Outlook Q2 2026,3/19/2026,https://emea.amova-am.com/institutional/insights/detail/2603-global-investment-strategy-committee-outlook-q2-2026
Amundi,Global Investment Views - April 2026,3/27/2026,https://research-center.amundi.com/article/global-investment-views-april-2026
Ares Management Corporation,"In the Gaps — Ares Alternative Credit Newsletter, Spring 2026",4/15/2026,https://ares.com/sites/default/files/2026-04/Ares-Alternative-Credit-Newsletter_In-the-Gaps_Spring-2026.pdf
Aviva Investors,House View Q2 2026,3/26/2026,https://www.avivainvestors.com/en-gb/views/house-view/
Bank of America,Capital Market Outlook,4/6/2026,https://olui2.fs.ml.com/publish/content/application/pdf/gwmol/me-cio-weekly-letter.pdf
Barings,Multi-Asset Insights: War Gaming,4/1/2026,https://www.barings.com/en-us/guest/perspectives/viewpoints/multi-asset-insights-war-gaming-multiasset-vwpt
BCA Research,Second Quarter 2026 Strategy Outlook: Unhappy In Its Own Way,3/27/2026,https://www.bcaresearch.com/reports/second-quarter-2026-strategy-outlook-unhappy-its-own-way-27-03-2026/214046
BlackRock,MyMap Quarterly Update - Q1 2026,4/20/2026,https://www.blackrock.com/uk/literature/brochure/mymap-multi-asset-range-commentary-en-uk-pc-brochure.pdf
BlackRock,2026 Global Outlook - Q2 update,4/22/2026,https://media.licdn.com/dms/document/media/v2/D561FAQFcHczUKoBmNA/feedshare-document-pdf-analyzed/B56Z3HsWFqIIAY-/0/1777171785756?e=1778112000&v=beta&t=47hMnphDkhkHGW_Si6QQbEqaubZWH0Mh0Nu_L8gJZAc
BlackRock,Equity Market Outlook Q2 2026,3/25/2026,https://www.blackrock.com/institutions/en-us/insights/thought-leadership/equity-market-outlook
BlackRock,Weekly Commentary - Spotting pockets of EM resilience,4/6/2026,https://www.blackrock.com/corporate/literature/market-commentary/weekly-investment-commentary-en-us-20260406-spotting-pockets-of-em-resilience.pdf
BMO Global Asset Management,"Pricing in geopolitical risk: Oil, inflation and the cycle’s next phase",3/16/2026,https://institutional.bmogam.com/ca-en/insights/pricing-in-geopolitical-risk-oil-inflation-and-the-cycles-next-phase/
BNP Paribas Asset Management,Monthly Market Views: Looking beyond oil and China’s resilience,4/2/2026,https://www.bnpparibas-am.com/en/portfolio-perspectives/monthly-market-views-looking-beyond-oil-and-chinas-resilience/
BNY Investments,Vantage Point: Pressure Points Q2 2026,3/25/2026,https://www.bny.com/assets/investments/im/documents/manual/market-insights/vantage-point-q2-2026-pressure-points.pdf
Calamos Investments,"Calamos Investment Team Outlooks, April 2026",4/1/2026,https://www.calamos.com/blogs/voices/calamos-investment-team-outlooks-april-2026/
Cantor Fitzgerald,CFAM Q1 Market Review and Outlook,4/2/2026,https://cantorfitzgerald.ie/cfam-q1-market-review-and-outlook/
Capital Group,Fixed Income Perspectives - Q2 2026,4/17/2026,https://www.capitalgroup.com/content/dam/cgc/tenants/eacg/documents/insights/en/2026/q2/ii-fixed-income-perspectives-fit.pdf?msockid=194d29efd4626d2825303c3ed5996ccd
Capital Group,Fixed Income: A 360° View,4/23/2026,https://www.capitalgroup.com/intermediaries/gb/en/insights/articles/fixed-income-a-360-view.html?msockid=194d29efd4626d2825303c3ed5996ccd
CBRE Investment Management,Macro House View Q2 2026,4/6/2026,https://www.cbreim.com/insights/articles/macro-house-view-q2-2026
Charles Schwab,Sector Views: Monthly Stock Sector Outlook,4/3/2026,https://www.schwab.com/learn/story/stock-sector-outlook
Citi Wealth,The Short and Long: 2026 Q2 Macro Investment View,4/6/2026,https://www.docs.citi.com/WealthOCIO/2026Q2Report.pdf
Columbia Threadneedle Investments,Columbia Threadneedle Fixed-Income Monitor: April 2026,4/9/2026,https://www.columbiathreadneedleus.com/insights/latest-insights/columbia-threadneedle-fixed-income-monitor
Deutsche Bank Wealth Management,Experts In-House: CIO Update Call,4/7/2026,https://wealth.db.com/en/lp/events/2026-events/experts-in-house-cio-update-call-7-april-2026.html
DWS,CIO View Port­fo­lio: Per­spect­ives,4/8/2026,https://www.dws.com/en-gb/insights/cio-view/asset-classes/cio-portfolio-perspectives/
Eastspring Investments,Q2 2026 Outlook: Tactically risk-on amid a fragile geopolitical backdrop,4/26/2026,https://www.eastspring.com/insights/outlook/quarterly/q2-2026-outlook-tactically-risk-on-amid-a-fragile-geopolitical-backdrop
Empower,U.S. economic and market outlook Q2 2026,3/1/2026,https://www.empower.com/investment-insights/outlook/q2-outlook-overview-2026
Federated Hermes,"360°, H1 2026: Is this what it sounds like when doves cry?",3/30/2026,https://www.hermes-investment.com/uk/en/institutions/insights/active-esg/360-h1-2026/
Fidelity International,Investment Outlook - Q2 2026,4/9/2026,https://www.fidelity.co.uk/markets-insights/markets/global/investment-outlook/
Fidelity International,Global Asset Allocation Insights - April 2026,3/31/2026,https://professionals.fidelity.co.uk/page/global-asset-allocation-insights
Fiduciary Trust,"A Market in Transition: 2026 Q2 Outlook on Geopolitics, AI, and Credit Markets",4/1/2026,https://www.fiduciary-trust.com/insights/market-outlook/
Franklin Templeton,Hedge Fund Strategy Outlook: Second Quarter 2026,4/7/2026,https://www.franklintempleton.com/articles/2026/alternatives/hedge-fund-strategy-outlook-second-quarter-2026
Franklin Templeton,Global Equity Pulse: A closer look at the energy sector,4/9/2026,https://www.ftinstitutional.com/articles/2026/equity/global-equity-pulse-a-closer-look-at-the-energy-sector
Franklin Templeton,Allocation Views: From Goldilocks to geopolitics—repositioning for an energy shock,4/9/2026,https://www.ftinstitutional.com/articles/series/allocation-views
Generali Investments,"Investment View: Low on fuel, high on intelligence",3/31/2026,FILE
Goldman Sachs Asset Management,Market Know-How 1Q 2026,4/8/2026,https://am.gs.com/en-us/advisors/insights/article/market-know-how
Goldman Sachs Asset Management,What’s on the Minds of Our CIOs?,3/20/2026,https://am.gs.com/en-gb/institutions/insights/article/public-investing-cio-digest
