Firm,Sub-Asset Class,action,scope_verdict,scope_reason,precedence_rule,row_view,row_source,row_date,row_confidence,row_band,row_basis,surviving_row
Aberdeen Investments,EM Debt - Local Currency,merged,same_claim,"Both express one positive EM local-currency stance—""real yields remain attractive"" and ""EM LC Gov Bonds ... Positive; Solid fundamentals.""",same_view_merge,O,May 2026 EMD review and outlook: resilience amid shifting geopolitics,15/06/2026,75,High,stated,"May 2026 EMD review and outlook: resilience amid shifting geopolitics | House View: staying invested, but trimming risk after the rebound"
Aberdeen Investments,EM Debt - Local Currency,winner,same_claim,"Both express one positive EM local-currency stance—""real yields remain attractive"" and ""EM LC Gov Bonds ... Positive; Solid fundamentals.""",same_view_merge,O,"House View: staying invested, but trimming risk after the rebound",05/05/2026,90,High,stated,"May 2026 EMD review and outlook: resilience amid shifting geopolitics | House View: staying invested, but trimming risk after the rebound"
Aberdeen Investments,Frontier Markets Debt,winner,same_claim,"Both hold frontier debt Positive on the same basis—""restored access to external financing ... elevated headline yields provide a cushion"" and ""Preference for LatAm and frontier markets.""",same_view_merge,O,May 2026 EMD review and outlook: resilience amid shifting geopolitics,15/06/2026,75,High,stated,"May 2026 EMD review and outlook: resilience amid shifting geopolitics | House View: staying invested, but trimming risk after the rebound"
Aberdeen Investments,Frontier Markets Debt,merged,same_claim,"Both hold frontier debt Positive on the same basis—""restored access to external financing ... elevated headline yields provide a cushion"" and ""Preference for LatAm and frontier markets.""",same_view_merge,O,"House View: staying invested, but trimming risk after the rebound",05/05/2026,75,High,stated,"May 2026 EMD review and outlook: resilience amid shifting geopolitics | House View: staying invested, but trimming risk after the rebound"
Aberdeen Investments,Global Govt Bonds/SSAs,kept_distinct,distinct_claims,"Different scenario: a positive recession-hedge rating (""Would benefit if energy shock causes recession"") versus a structural diversification-loss underweight (""government bonds may no longer provide the reliable diversification they once did"").",,O,"House View: staying invested, but trimming risk after the rebound",05/05/2026,90,High,stated,(all rows kept)
Aberdeen Investments,Global Govt Bonds/SSAs,kept_distinct,distinct_claims,"Different scenario: a positive recession-hedge rating (""Would benefit if energy shock causes recession"") versus a structural diversification-loss underweight (""government bonds may no longer provide the reliable diversification they once did"").",,U,Macro: finding conviction in a world of higher geopolitical risk,05/05/2026,74,Medium,inferred,(all rows kept)
Aberdeen Investments,Private Infrastructure,winner,same_claim,"All three are one Positive infrastructure call on structural tailwinds—""Global Infra ... Positive"", ""sustained investment in ... resilient infrastructure"", and ""predictable cash flows, lower volatility.""",same_view_merge,O,"House View: staying invested, but trimming risk after the rebound",05/05/2026,90,High,stated,"House View: staying invested, but trimming risk after the rebound | Macro: finding conviction in a world of higher geopolitical risk | Real Assets: why space and time matter more than ever"
Aberdeen Investments,Private Infrastructure,merged,same_claim,"All three are one Positive infrastructure call on structural tailwinds—""Global Infra ... Positive"", ""sustained investment in ... resilient infrastructure"", and ""predictable cash flows, lower volatility.""",same_view_merge,O,Macro: finding conviction in a world of higher geopolitical risk,05/05/2026,74,Medium,inferred,"House View: staying invested, but trimming risk after the rebound | Macro: finding conviction in a world of higher geopolitical risk | Real Assets: why space and time matter more than ever"
Aberdeen Investments,Private Infrastructure,merged,same_claim,"All three are one Positive infrastructure call on structural tailwinds—""Global Infra ... Positive"", ""sustained investment in ... resilient infrastructure"", and ""predictable cash flows, lower volatility.""",same_view_merge,O,Real Assets: why space and time matter more than ever,05/05/2026,68,Medium,inferred,"House View: staying invested, but trimming risk after the rebound | Macro: finding conviction in a world of higher geopolitical risk | Real Assets: why space and time matter more than ever"
AllianceBernstein,Duration,kept_distinct,distinct_claims,"Opposite duration calls—""Underweight duration"" in multi-asset versus ""keeping bonds anchored ... that means holding duration"" in fixed income.",,U,Multi-Asset Midyear Outlook: Fortitude Amid Disruption,30/06/2026,74,Medium,stated,(all rows kept)
AllianceBernstein,Duration,kept_distinct,distinct_claims,"Opposite duration calls—""Underweight duration"" in multi-asset versus ""keeping bonds anchored ... that means holding duration"" in fixed income.",,O,Global Macro Outlook: Third Quarter 2026,01/07/2026,74,Medium,stated,(all rows kept)
AllianceBernstein,Duration,kept_distinct,distinct_claims,"Opposite duration calls—""Underweight duration"" in multi-asset versus ""keeping bonds anchored ... that means holding duration"" in fixed income.",,O,Fixed-Income Midyear Outlook: Six Ways to Put Volatility to Work,01/07/2026,85,High,stated,(all rows kept)
AllianceBernstein,Equities - General,winner,same_claim,"All favor equities generally—""importance of equity allocations"", ""Overweight equities"", and ""equities are integral to long-term allocations.""",same_view_merge,O,"Equity Outlook: Middle East War, Energy Shock Test Fragile Markets",09/04/2026,75,High,stated,"Equity Outlook: Middle East War, Energy Shock Test Fragile Markets | Multi-Asset Midyear Outlook: Fortitude Amid Disruption | Equity Outlook: AI Enthusiasm Leaves Little Margin for Error"
AllianceBernstein,Equities - General,merged,same_claim,"All favor equities generally—""importance of equity allocations"", ""Overweight equities"", and ""equities are integral to long-term allocations.""",same_view_merge,O,Multi-Asset Midyear Outlook: Fortitude Amid Disruption,30/06/2026,74,Medium,stated,"Equity Outlook: Middle East War, Energy Shock Test Fragile Markets | Multi-Asset Midyear Outlook: Fortitude Amid Disruption | Equity Outlook: AI Enthusiasm Leaves Little Margin for Error"
AllianceBernstein,Equities - General,merged,same_claim,"All favor equities generally—""importance of equity allocations"", ""Overweight equities"", and ""equities are integral to long-term allocations.""",same_view_merge,O,Equity Outlook: AI Enthusiasm Leaves Little Margin for Error,02/07/2026,75,High,stated,"Equity Outlook: Middle East War, Energy Shock Test Fragile Markets | Multi-Asset Midyear Outlook: Fortitude Amid Disruption | Equity Outlook: AI Enthusiasm Leaves Little Margin for Error"
AllianceBernstein,Low Quality Issuers,kept_distinct,distinct_claims,"Different sub-sector under one leaf: owning ""lower-rated municipals"" versus ""underweight ... CCC-rated corporates.""",,O,Municipal Midyear Outlook: Room to Run as Demand Drives the Market,02/07/2026,75,High,stated,(all rows kept)
AllianceBernstein,Low Quality Issuers,kept_distinct,distinct_claims,"Different sub-sector under one leaf: owning ""lower-rated municipals"" versus ""underweight ... CCC-rated corporates.""",,U,Fixed-Income Midyear Outlook: Six Ways to Put Volatility to Work,01/07/2026,86,High,stated,(all rows kept)
AllianceBernstein,Low Vol.,winner,same_claim,"Both favor low-volatility defensives—""Defensive stocks ... offered refuge"" and ""Lower-beta stocks ... may also help defense.""",same_view_merge,O,"Equity Outlook: Middle East War, Energy Shock Test Fragile Markets",09/04/2026,75,High,stated,"Equity Outlook: Middle East War, Energy Shock Test Fragile Markets | Multi-Asset Midyear Outlook: Fortitude Amid Disruption"
AllianceBernstein,Low Vol.,merged,same_claim,"Both favor low-volatility defensives—""Defensive stocks ... offered refuge"" and ""Lower-beta stocks ... may also help defense.""",same_view_merge,O,Multi-Asset Midyear Outlook: Fortitude Amid Disruption,30/06/2026,75,High,stated,"Equity Outlook: Middle East War, Energy Shock Test Fragile Markets | Multi-Asset Midyear Outlook: Fortitude Amid Disruption"
AllianceBernstein,Quality,merged,same_claim,"Both favor quality—""firms with strong balance sheets ... pricing power"" and ""high-quality businesses remains central.""",same_view_merge,O,"Equity Outlook: Middle East War, Energy Shock Test Fragile Markets",09/04/2026,75,High,stated,"Equity Outlook: Middle East War, Energy Shock Test Fragile Markets | Equity Outlook: AI Enthusiasm Leaves Little Margin for Error"
AllianceBernstein,Quality,winner,same_claim,"Both favor quality—""firms with strong balance sheets ... pricing power"" and ""high-quality businesses remains central.""",same_view_merge,O,Equity Outlook: AI Enthusiasm Leaves Little Margin for Error,02/07/2026,79,High,stated,"Equity Outlook: Middle East War, Energy Shock Test Fragile Markets | Equity Outlook: AI Enthusiasm Leaves Little Margin for Error"
AllianceBernstein,US Equities,kept_distinct,distinct_claims,"Different stances on the same leaf: ""equity exposure should favor the US"", ""we remain agnostic"", and ""wary of crowded trades ... especially in US stocks.""",,O,Multi-Asset Midyear Outlook: Fortitude Amid Disruption,30/06/2026,79,High,stated,(all rows kept)
AllianceBernstein,US Equities,kept_distinct,distinct_claims,"Different stances on the same leaf: ""equity exposure should favor the US"", ""we remain agnostic"", and ""wary of crowded trades ... especially in US stocks.""",,N,Global Macro Outlook: Third Quarter 2026,01/07/2026,74,Medium,stated,(all rows kept)
AllianceBernstein,US Equities,kept_distinct,distinct_claims,"Different stances on the same leaf: ""equity exposure should favor the US"", ""we remain agnostic"", and ""wary of crowded trades ... especially in US stocks.""",,U,Equity Outlook: AI Enthusiasm Leaves Little Margin for Error,02/07/2026,75,High,stated,(all rows kept)
