Firm,Source,Sub-Asset Class,View (proposed),What happened,Explanation,Evidence / notes
Janus Henderson Investors,Market GPS Investment Outlook Mid-Year 2026,Utilities,O,Evidence is about a different asset,"A second reader found the cited text is about a different asset than the call, so it was dropped. A human can check the cited page.","The quoted bottleneck list (semiconductors, memory, cooling, optical, power equipment) is tech/equipment supply chain, not utility companies; the quote does not name utilities."
State Street,Market Signals and Shifts: Midyear update,Southeast Asian FX,U,Skipped — asset not on the list,"The asset named didn't match any item on the approved asset list, so it was left out. No action needed unless it should be on the list.",taxonomy_no_match
State Street,Market Signals and Shifts: Midyear update,KRW,O,Skipped — asset not on the list,"The asset named didn't match any item on the approved asset list, so it was left out. No action needed unless it should be on the list.",taxonomy_no_match
State Street,Market Signals and Shifts: Midyear update,TWD,O,Skipped — asset not on the list,"The asset named didn't match any item on the approved asset list, so it was left out. No action needed unless it should be on the list.",taxonomy_no_match
RBC Wealth,Bond markets seeing the forest for the trees,Canada Govt Bonds,U,Change too small to call,"The forecast change behind this call was too small to justify a view, so it was left out. No action needed.","forecast delta 10bp is below the 25bp materiality floor (provisional, pending client confirmation)"
Janus Henderson Investors,Multi-Sector Credit Asset Allocation Perspectives: Defensive carry amid asymmetric risks,Securitized/Structured (ABS/MBS/CDS/Swaps/CLOs),O,Conflicting views — none kept,"Two views for this asset disagreed and could not be reconciled automatically, so neither was kept. A human should decide which is correct.","multiple views survived validation for the same source/group and leaf; arbiter: These six candidates are not restatements of one stance but genuinely distinct instruments (RMBS, ABS, CLO-AAA, CLO-BBB, and a general securitized-vs-corporates preference) bundled into a single taxonomy leaf, and their published levels genuinely disagree in sign, not just intensity: RMBS (+1) and ABS (+1) are explicit positive dials, the general commentary favors securitized credit broadly, but the CLO section's own printed score nets to neutral (0) precisely because it is a two-sided path — AAA scored +0.5 against BBB scored -1 (rule: 'a two-sided path nets to N ... with both sides quoted'). No single candidate speaks for the whole combined leaf: picking any one O candidate would erase the explicit CLO-BBB caution the house itself prints, and picking the CLO-overall N would erase the equally explicit RMBS/ABS overweight scores on other components of the same leaf. This is rule 5's 'source genuinely holds both views at once' with no primary stance across the bundled components, so winning_index is null and the conflict should route to unresolved-conflict for analyst review."
Janus Henderson Investors,Multi-Sector Credit Asset Allocation Perspectives: Defensive carry amid asymmetric risks,Securitized/Structured (ABS/MBS/CDS/Swaps/CLOs),O,Conflicting views — none kept,"Two views for this asset disagreed and could not be reconciled automatically, so neither was kept. A human should decide which is correct.","multiple views survived validation for the same source/group and leaf; arbiter: These six candidates are not restatements of one stance but genuinely distinct instruments (RMBS, ABS, CLO-AAA, CLO-BBB, and a general securitized-vs-corporates preference) bundled into a single taxonomy leaf, and their published levels genuinely disagree in sign, not just intensity: RMBS (+1) and ABS (+1) are explicit positive dials, the general commentary favors securitized credit broadly, but the CLO section's own printed score nets to neutral (0) precisely because it is a two-sided path — AAA scored +0.5 against BBB scored -1 (rule: 'a two-sided path nets to N ... with both sides quoted'). No single candidate speaks for the whole combined leaf: picking any one O candidate would erase the explicit CLO-BBB caution the house itself prints, and picking the CLO-overall N would erase the equally explicit RMBS/ABS overweight scores on other components of the same leaf. This is rule 5's 'source genuinely holds both views at once' with no primary stance across the bundled components, so winning_index is null and the conflict should route to unresolved-conflict for analyst review."
Janus Henderson Investors,Multi-Sector Credit Asset Allocation Perspectives: Defensive carry amid asymmetric risks,Securitized/Structured (ABS/MBS/CDS/Swaps/CLOs),N,Conflicting views — none kept,"Two views for this asset disagreed and could not be reconciled automatically, so neither was kept. A human should decide which is correct.","multiple views survived validation for the same source/group and leaf; arbiter: These six candidates are not restatements of one stance but genuinely distinct instruments (RMBS, ABS, CLO-AAA, CLO-BBB, and a general securitized-vs-corporates preference) bundled into a single taxonomy leaf, and their published levels genuinely disagree in sign, not just intensity: RMBS (+1) and ABS (+1) are explicit positive dials, the general commentary favors securitized credit broadly, but the CLO section's own printed score nets to neutral (0) precisely because it is a two-sided path — AAA scored +0.5 against BBB scored -1 (rule: 'a two-sided path nets to N ... with both sides quoted'). No single candidate speaks for the whole combined leaf: picking any one O candidate would erase the explicit CLO-BBB caution the house itself prints, and picking the CLO-overall N would erase the equally explicit RMBS/ABS overweight scores on other components of the same leaf. This is rule 5's 'source genuinely holds both views at once' with no primary stance across the bundled components, so winning_index is null and the conflict should route to unresolved-conflict for analyst review."
Janus Henderson Investors,Multi-Sector Credit Asset Allocation Perspectives: Defensive carry amid asymmetric risks,Securitized/Structured (ABS/MBS/CDS/Swaps/CLOs),O,Conflicting views — none kept,"Two views for this asset disagreed and could not be reconciled automatically, so neither was kept. A human should decide which is correct.","multiple views survived validation for the same source/group and leaf; arbiter: These six candidates are not restatements of one stance but genuinely distinct instruments (RMBS, ABS, CLO-AAA, CLO-BBB, and a general securitized-vs-corporates preference) bundled into a single taxonomy leaf, and their published levels genuinely disagree in sign, not just intensity: RMBS (+1) and ABS (+1) are explicit positive dials, the general commentary favors securitized credit broadly, but the CLO section's own printed score nets to neutral (0) precisely because it is a two-sided path — AAA scored +0.5 against BBB scored -1 (rule: 'a two-sided path nets to N ... with both sides quoted'). No single candidate speaks for the whole combined leaf: picking any one O candidate would erase the explicit CLO-BBB caution the house itself prints, and picking the CLO-overall N would erase the equally explicit RMBS/ABS overweight scores on other components of the same leaf. This is rule 5's 'source genuinely holds both views at once' with no primary stance across the bundled components, so winning_index is null and the conflict should route to unresolved-conflict for analyst review."
Janus Henderson Investors,Multi-Sector Credit Asset Allocation Perspectives: Defensive carry amid asymmetric risks,Securitized/Structured (ABS/MBS/CDS/Swaps/CLOs),U,Conflicting views — none kept,"Two views for this asset disagreed and could not be reconciled automatically, so neither was kept. A human should decide which is correct.","multiple views survived validation for the same source/group and leaf; arbiter: These six candidates are not restatements of one stance but genuinely distinct instruments (RMBS, ABS, CLO-AAA, CLO-BBB, and a general securitized-vs-corporates preference) bundled into a single taxonomy leaf, and their published levels genuinely disagree in sign, not just intensity: RMBS (+1) and ABS (+1) are explicit positive dials, the general commentary favors securitized credit broadly, but the CLO section's own printed score nets to neutral (0) precisely because it is a two-sided path — AAA scored +0.5 against BBB scored -1 (rule: 'a two-sided path nets to N ... with both sides quoted'). No single candidate speaks for the whole combined leaf: picking any one O candidate would erase the explicit CLO-BBB caution the house itself prints, and picking the CLO-overall N would erase the equally explicit RMBS/ABS overweight scores on other components of the same leaf. This is rule 5's 'source genuinely holds both views at once' with no primary stance across the bundled components, so winning_index is null and the conflict should route to unresolved-conflict for analyst review."
