Firm,Date,Source,URL,Sub-Asset Class,Asset Class Category,Canva Groupings,Asset Class,View,Full Commentary,confidence,band,review_flag,basis,checker_strength,call_language,quote_match
Janus Henderson Investors,,Multi-Sector Credit Asset Allocation Perspectives: Defensive carry amid asymmetric risks,https://cdn.janushenderson.com/webdocs/Multi%2520Sector%2520Credit%2520Asset%2520Allocation%2520Perspectives%2520Q2%25202026.pdf,Credit - General / Multi-Sector / Broad,Fixed Income - Investment Grade,Fixed Income - Credit & Specialty,Fixed Income,N,"Janus Henderson sets overall credit spread beta at neutral because limited upside is balanced against asymmetric downside risks. Evidence: Asset Allocation Views bullet states: ""Our overall spread beta is neutral as limited upside contrasts with asymmetric downside risks from geopolitics, energy prices, and policy uncertainty, favoring defensive carry over adding incremental risk."". Locator: p.3 — 'Asset Allocation Views' bullet panel.",86,High,none,stated,decisive,explicit_stance,
Janus Henderson Investors,,Multi-Sector Credit Asset Allocation Perspectives: Defensive carry amid asymmetric risks,https://cdn.janushenderson.com/webdocs/Multi%2520Sector%2520Credit%2520Asset%2520Allocation%2520Perspectives%2520Q2%25202026.pdf,Global HY,Fixed Income - High Yield,Fixed Income - Credit & Specialty,Fixed Income,U,"Janus Henderson scores global high yield at -0.5 as upside is capped and risk/reward remains skewed to the downside. Evidence: Global high yield (HY) score grid shows a negative score between -1 and 0; score rationale shows ""(-0.5 new | 0 prior)"" and the views state a ""cautious, neutral to negative stance."". Locator: p.4 — 'Dynamic allocation' score grid.",86,High,none,stated,adequate,explicit_dial,
Janus Henderson Investors,,Multi-Sector Credit Asset Allocation Perspectives: Defensive carry amid asymmetric risks,https://cdn.janushenderson.com/webdocs/Multi%2520Sector%2520Credit%2520Asset%2520Allocation%2520Perspectives%2520Q2%25202026.pdf,Global IG Credit,Fixed Income - Investment Grade,Fixed Income - Credit & Specialty,Fixed Income,U,"Janus Henderson has improved its IG score but still leaves global investment grade in underweight territory. Evidence: Global investment grade (IG) score grid shows a negative score between -1 and 0; score rationale shows ""(-0.5 new | -2 prior)"" and the views mention ""a continued underweight."". Locator: p.4 — 'Dynamic allocation' score grid.",90,High,none,stated,decisive,explicit_dial,
Janus Henderson Investors,,Multi-Sector Credit Asset Allocation Perspectives: Defensive carry amid asymmetric risks,https://cdn.janushenderson.com/webdocs/Multi%2520Sector%2520Credit%2520Asset%2520Allocation%2520Perspectives%2520Q2%25202026.pdf,US Agency MBS,Fixed Income - Specialty,Fixed Income - Credit & Specialty,Fixed Income,O,"Janus Henderson rates Agency MBS positive because liquidity, inflows, GSE demand, and limited credit risk support allocations. Evidence: Mortgage-related debt views state: ""Agency MBS spreads have widened"" but ""positive inflows, government sponsored enterprise (GSE) demand, and limited credit risk support allocations. (Agency MBS +1)"". Locator: p.4 — 'Mortgage-related debt' score grid.",90,High,none,stated,decisive,explicit_dial,
Janus Henderson Investors,,Multi-Sector Credit Asset Allocation Perspectives: Defensive carry amid asymmetric risks,https://cdn.janushenderson.com/webdocs/Multi%2520Sector%2520Credit%2520Asset%2520Allocation%2520Perspectives%2520Q2%25202026.pdf,CMBS,Alts - Real Estate,Alts - Real Assets,Alternatives,N,"Janus Henderson has moved CMBS to neutral, with stable CRE fundamentals offset by vulnerability if risk assets widen. Evidence: Commercial mortgage-backed securities (CMBS) score grid is shaded at 0; score rationale shows ""(0 new | +1 prior)"".. Locator: p.5 — 'Commercial mortgage-backed securities (CMBS)' score grid.",100,High,none,stated,decisive,explicit_dial,
Janus Henderson Investors,,Multi-Sector Credit Asset Allocation Perspectives: Defensive carry amid asymmetric risks,https://cdn.janushenderson.com/webdocs/Multi%2520Sector%2520Credit%2520Asset%2520Allocation%2520Perspectives%2520Q2%25202026.pdf,Leveraged Loans,Fixed Income - Specialty,Fixed Income - Credit & Specialty,Fixed Income,U,"Janus Henderson scores loans negative as underperformance continues and software, AI, macro, and energy risks weigh on the sector. Evidence: Loans score grid is shaded at -1; score rationale shows ""(-1 new | -0.5 prior) Loans continue to underperform"".. Locator: p.5 — 'Loans' score grid.",90,High,none,stated,decisive,explicit_dial,
Janus Henderson Investors,,Multi-Sector Credit Asset Allocation Perspectives: Defensive carry amid asymmetric risks,https://cdn.janushenderson.com/webdocs/Multi%2520Sector%2520Credit%2520Asset%2520Allocation%2520Perspectives%2520Q2%25202026.pdf,US Bank Loans,Fixed Income - Investment Grade,Fixed Income - Credit & Specialty,Fixed Income,U,"Janus Henderson scores U.S. loans negative because apparent spread value is distorted by stressed segments and high-beta AI-exposed names continue to lag. Evidence: Loans views state: ""In the U.S., headline spreads appear wide but are distorted by stressed segments"" and end with ""high beta and AI exposed names continue to lag. (U.S. -1)"". Locator: p.5 — 'Loans' score grid.",90,High,none,stated,decisive,explicit_dial,
Janus Henderson Investors,,Multi-Sector Credit Asset Allocation Perspectives: Defensive carry amid asymmetric risks,https://cdn.janushenderson.com/webdocs/Multi%2520Sector%2520Credit%2520Asset%2520Allocation%2520Perspectives%2520Q2%25202026.pdf,Europe Bank Loans,Fixed Income - Investment Grade,Fixed Income - Credit & Specialty,Fixed Income,U,"Janus Henderson scores European loans negative because energy sensitivity and weaker macro resilience limit enthusiasm. Evidence: Loans views state: ""European loans also screen wide in percentile terms, but elevated sensitivity to energy prices and weaker macro resilience limit enthusiasm. (EU -0.5)"". Locator: p.5 — 'Loans' score grid.",90,High,none,stated,decisive,explicit_dial,
Janus Henderson Investors,,Multi-Sector Credit Asset Allocation Perspectives: Defensive carry amid asymmetric risks,https://cdn.janushenderson.com/webdocs/Multi%2520Sector%2520Credit%2520Asset%2520Allocation%2520Perspectives%2520Q2%25202026.pdf,EM Debt - General,Fixed Income - Geo,Fixed Income - Rates & Sovereigns,Fixed Income,N,"Janus Henderson remains neutral on EM debt because resilience is reassuring but valuations, geopolitics, and rate uncertainty limit attractiveness. Evidence: Emerging market (EM) debt score grid is shaded at 0; score rationale shows ""(0 new | 0 prior)"" and says ""remain neutral as resilience is reassuring, but valuations limit attractiveness amid geopolitical and rate uncertainty."". Locator: p.5 — 'Emerging market (EM) debt' score grid.",90,High,none,stated,decisive,explicit_dial,
Janus Henderson Investors,,Multi-Sector Credit Asset Allocation Perspectives: Defensive carry amid asymmetric risks,https://cdn.janushenderson.com/webdocs/Multi%2520Sector%2520Credit%2520Asset%2520Allocation%2520Perspectives%2520Q2%25202026.pdf,Duration,Fixed Income - Duration,Fixed Income - General,Fixed Income,O,"Janus says duration is less reliable as a hedge but that higher yields and overshoots make it more attractive as an outright entry point. Evidence: With inflation expectations
now driving rates, duration has become less effective as a volatility hedge, even as higher yields and potential over-
shoots are making it more attractive outright from an entry‑point perspective.. Locator: p.6.",75,High,none,stated,adequate,directional,
