Firm,Date,Source,MR Link,Sub-Asset Class,Asset Class Category,Canva Groupings,Asset Class,View,Weightings,Full Commentary
Aberdeen Investments,3/10/2026,Emerging Markets Q2 2026 Outlook: Shifting Sands,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=emerging-markets-outlook-shifting-sands,Taiwan Equities,Equities - EMs,Equities - Geography,Equities,O,Overweight,"Aberdeen identifies Taiwan as the clear beneficiary of the AI-driven semiconductor supercycle, with integrated circuit exports surging 60% year-on-year and US-bound shipments up 150%. The CapEx cycle shows no sign of abating, with US tech giants planning over $610 billion in 2026 spending alone. However, the team flags Dutch disease risk as semiconductor dominance distorts the broader economy."
Aberdeen Investments,3/10/2026,Emerging Markets Q2 2026 Outlook: Shifting Sands,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=emerging-markets-outlook-shifting-sands,South Korea Equities,Equities - EMs,Equities - Geography,Equities,O,Overweight,"South Korean total exports are up 34% year-on-year, with the semiconductor share rising by more than 10 percentage points to over 30%. Korean tech-related exports to Taiwan have risen sharply, reinforcing APAC supply chain linkages. Aberdeen notes that outside semiconductors and shipping, the export picture is less compelling."
Aberdeen Investments,3/10/2026,Emerging Markets Q2 2026 Outlook: Shifting Sands,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=emerging-markets-outlook-shifting-sands,IT/Tech/Telecomms (inc. AI),Equities - Sector,"Equities - Sectors, Factors, Thematics",Equities,O,Overweight,"The AI CapEx cycle has broadened beyond Taiwan and Korea to Malaysia, Thailand, and Vietnam. US tech firms have spent over $865 billion since 2022 and plan $610 billion for 2026 alone. Aberdeen expects AI to remain a tailwind for APAC and EMs overall as spending moves up a gear."
Aberdeen Investments,3/10/2026,Emerging Markets Q2 2026 Outlook: Shifting Sands,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=emerging-markets-outlook-shifting-sands,India Equities,Equities - EMs,Equities - Geography,Equities,O,Overweight,India is well placed for the data centre expansion wave alongside Malaysia. Fiscal consolidation has helped narrow bond spreads and given the central bank room to ease. Aberdeen views India's structural growth drivers as intact despite the broader EM uncertainty.
Aberdeen Investments,3/10/2026,Emerging Markets Q2 2026 Outlook: Shifting Sands,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=emerging-markets-outlook-shifting-sands,EM Debt - Local Currency,Fixed Income - Sovereigns,Fixed Income - Rates & Sovereigns,Fixed Income,O,Overweight,"Brazil maintains the highest real policy rates in EM, creating significant carry for local currency bond investors. Aberdeen expects the Banco Central do Brasil to begin cautiously easing. October election risk looms with a competitive race between Lula and Flavio Bolsonaro, but the rate differential remains deeply attractive."
Aberdeen Investments,3/10/2026,Emerging Markets Q2 2026 Outlook: Shifting Sands,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=emerging-markets-outlook-shifting-sands,LatAm Fixed Income,Fixed Income - Geo,Fixed Income - General,Fixed Income,O,Overweight,"Aberdeen expects Mexico to deliver further rate cuts from still-elevated real policy levels. Fiscal consolidation is underway, and de facto fiscal loosening from tariff reduction supports the growth outlook. Section 122 tariff moderation is net positive for Mexico."
Aberdeen Investments,3/10/2026,Emerging Markets Q2 2026 Outlook: Shifting Sands,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=emerging-markets-outlook-shifting-sands,Malaysia Equities,Equities - EMs,Equities - Geography,Equities,O,Overweight,"APAC trade strength has broadened to Malaysia, and the country is well positioned for data centre expansion alongside India. Fiscal consolidation has helped narrow bond spreads. Aberdeen notes electronics manufacturing employment has fallen, suggesting some AI concentration risk."
Aberdeen Investments,3/10/2026,Emerging Markets Q2 2026 Outlook: Shifting Sands,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=emerging-markets-outlook-shifting-sands,Data Centers,Alts - Infrastructure,Alts - Real Assets,Alternatives,O,Overweight,"Large Sovereign Wealth Funds, abundant energy, and access to the US technology stack position Gulf states to expand AI capabilities rapidly once the Iran conflict subsides. Aberdeen sees this as a medium-term structural opportunity contingent on geopolitical de-escalation."
Aberdeen Investments,3/10/2026,Emerging Markets Q2 2026 Outlook: Shifting Sands,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=emerging-markets-outlook-shifting-sands,Emerging Markets Equities,Equities - EMs,Equities - Geography,Equities,N,Neutral,"The macro backdrop is supportive — easing monetary conditions, tariff moderation, and AI tailwinds — but geopolitical risk and country-specific fiscal fragility require high selectivity. Aberdeen frames the outlook as one of opportunity beneath volatility, with outcomes increasingly country and sector specific."
Aberdeen Investments,3/10/2026,Emerging Markets Q2 2026 Outlook: Shifting Sands,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=emerging-markets-outlook-shifting-sands,China Equities,Equities - EMs,Equities - Geography,Equities,N,Neutral,"China's AI+ strategy targeting robotics, biomanufacturing, and quantum computing is ambitious and could pressure APAC manufacturing competitors. However, the US is likely to rebuild its tariff wall on China via Section 232 and 301 legislation. China's AI spend is understated at $67 billion due to diffuse investment across state-backed telecoms."
Aberdeen Investments,3/10/2026,Emerging Markets Q2 2026 Outlook: Shifting Sands,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=emerging-markets-outlook-shifting-sands,Eastern Europe Equities,Equities - EMs,Equities - Geography,Equities,N,Neutral,"Central banks in Central and Eastern Europe are most likely to remain on hold in 2026, held back by electoral fiscal pressure and lingering core inflation stickiness. Hungary's April election is a key swing factor, with Orbán's Fidesz trailing the pro-EU Tisza party in polls."
Aberdeen Investments,3/10/2026,Emerging Markets Q2 2026 Outlook: Shifting Sands,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=emerging-markets-outlook-shifting-sands,Oil,Alts - Commodities,Commodities,Alternatives,U,Underweight,"The US-Israel-Iran conflict creates material downside for energy-importing EMs. The longer the Strait of Hormuz disruption persists, the greater the probability of a broad oil price spike and negative market moves. Aberdeen notes markets are currently pricing a short-lived shock, creating asymmetric risk."
