Firm,Date,Source,URL,Sub-Asset Class,Asset Class Category,Canva Groupings,Asset Class,View,Weightings,Full Commentary
Charles Schwab,4/3/2026,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook,Healthcare/Pharma,Equities - Sector,"Equities - Sectors, Factors, Thematics",Equities,O,Overweight,"SCFR rates Health Care as Most Favored, the highest conviction tier in their five-level framework. The sector benefits from structural support via an ageing population, technological innovation, and relatively steady demand that provides defensive positioning during macro uncertainty. The team notes that regulatory risk — including potential ACA subsidy changes, Medicaid cuts, and pharmaceutical pricing pressure — remains the primary overhang."
Charles Schwab,4/3/2026,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook,Industrials,Equities - Sector,"Equities - Sectors, Factors, Thematics",Equities,O,Overweight,"Industrials earn a Most Favored rating on broad-based demand from AI data-centre buildouts, defence spending, decarbonisation, and electrification. SCFR sees the growth outlook as structurally stronger than the prior decade, supported by mega-trends including re-industrialisation. However, the sector's high cyclical exposure means it could underperform if tariffs erode margins or the manufacturing recovery stalls."
Charles Schwab,4/3/2026,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook,Communication Services,Equities - Sector,"Equities - Sectors, Factors, Thematics",Equities,O,Overweight,"Communication Services earns a More Favored rating on secular growth in digital advertising, data consumption, and streaming, with support from ongoing telecom infrastructure investment. However, SCFR flags extreme concentration risk — over 70% of sector weight sits in just two stocks — and uncertainty over whether large AI capex outlays will translate into the strong future earnings investors expect."
Charles Schwab,4/3/2026,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook,Materials,Equities - Sector,"Equities - Sectors, Factors, Thematics",Equities,O,Overweight,"Materials earns a More Favored rating on structural demand from infrastructure spending, reshoring, and industrialisation trends. SCFR sees a potential recovery in global manufacturing as supportive for chemicals and basic resources, while data-centre expansion could drive specialty materials demand. The sector's inflation-hedging properties add appeal, though cyclicality and commodity price volatility remain key risks."
Charles Schwab,4/3/2026,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook,Energy Sector,Equities - Sector,"Equities - Sectors, Factors, Thematics",Equities,N,Neutral,"Energy receives a Neutral rating as structural demand from the global energy transition and energy security is offset by supply-side headwinds from strong US production and the risk of oil price weakness if geopolitical tensions ease. SCFR notes the sector is highly concentrated, with the two largest stocks making up over half of sector weight, adding idiosyncratic risk."
Charles Schwab,4/3/2026,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook,IT/Tech/Telecomms (inc. AI),Equities - Sector,"Equities - Sectors, Factors, Thematics",Equities,N,Neutral,"Information Technology holds at Neutral despite powerful fundamental growth drivers including cloud computing, AI, digital transformation, and automation demand. SCFR is restrained by the sector's high cyclicality, vulnerability to capital expenditure cycle shifts, policy and regulatory uncertainty, and extreme stock concentration — the top three names exceed 60% of sector weight."
Charles Schwab,4/3/2026,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook,Utilities,Equities - Sector,"Equities - Sectors, Factors, Thematics",Equities,N,Neutral,"Utilities earn a Neutral rating as structural growth from AI data-centre power demand, industrial expansion, and the energy transition is offset by rate sensitivity and capital-intensive financing needs. SCFR notes the sector's non-cyclical demand characteristics provide defensive positioning during economic uncertainty, but regulatory risk around rate approvals limits return visibility."
Charles Schwab,4/3/2026,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook,Consumer Staples,Equities - Sector,"Equities - Sectors, Factors, Thematics",Equities,U,Underweight,"Consumer Staples is rated Less Favored on persistently weak revenue growth that has cascaded into softer free-cash-flow and dividend growth. While the sector offers traditional defensive characteristics and relative insensitivity to economic cycles, SCFR sees limited growth upside and warns that tariffs and input-cost inflation could further pressure margins."
Charles Schwab,4/3/2026,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook,Financials,Equities - Sector,"Equities - Sectors, Factors, Thematics",Equities,U,Underweight,"Financials earn a Less Favored rating as the sector has underperformed amid rising economic and credit-quality concerns. While elevated interest rates support bank lending margins and insurance returns, SCFR warns that persistently high rates risk broader financial tightening and the rapid expansion of private credit markets could generate system-wide stress."
Charles Schwab,4/3/2026,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook,Consumer Discretionary,Equities - Sector,"Equities - Sectors, Factors, Thematics",Equities,U,Underweight,"Consumer Discretionary receives a Least Favored rating — SCFR's lowest conviction tier — on deteriorating fundamentals including softer revenue and free-cash-flow trends relative to other sectors. The sector is highly exposed to economic conditions and vulnerable to slowing consumer confidence, tariff impacts on profitability, and extreme concentration with over 60% of weight in three stocks."
Charles Schwab,4/3/2026,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook,Real Estate,Equities - Sector,"Equities - Sectors, Factors, Thematics",Equities,U,Underweight,"Real Estate is rated Least Favored alongside Consumer Discretionary at the bottom of SCFR's framework. The sector remains challenged by persistent supply imbalances in the commercial office segment dating to the pandemic, heavy borrowing costs in a higher-rate environment, and structural headwinds from AI disruption to traditional retail and office models."
CBRE Investment Management,4/1/2026,Macro House View Q2 2026,https://mediaassets.cbre.com/-/media/project/cbre/bussectors/cbreim/insights/articles/2026/april/macro-house-view-q2-2026/macro-house-view-q2-2026.pdf?rev=79e07eb1b67943c0a892683ebe160bb9,RE - Europe,Alts - Real Estate EU,Alts - Real Assets Geo,Alternatives,N,Neutral,"CBRE IM's macro framework positions Germany, Spain and Sweden as the strongest European economies through 2030. Germany and Sweden benefit from a defence- and infrastructure-driven spending boom, while Spain is driven by technology, engineering and financial services. All three have sound public finances relative to France, Italy and the U.K., reducing sovereign-linked borrowing cost risk for real estate transactions and debt financing. France sits alongside Italy and the U.K. as the European markets with the weakest sovereign credit. Public finances face further strain from fuel subsidies and weaker near-term growth. Elevated risk premia over German Bunds raise the cost of real estate debt financing and weigh on institutional allocation to French real estate."
CBRE Investment Management,4/1/2026,Macro House View Q2 2026,https://mediaassets.cbre.com/-/media/project/cbre/bussectors/cbreim/insights/articles/2026/april/macro-house-view-q2-2026/macro-house-view-q2-2026.pdf?rev=79e07eb1b67943c0a892683ebe160bb10,Private Infrastructure,Alts - Infrastructure,Alts - Real Assets,Alternatives,O,Overweight,"European defence and infrastructure fiscal expansion creates a multi-year capital deployment cycle for infrastructure investors. The energy supply shock reinforces the need for energy independence, diversification and transition. CBRE IM notes Europe's reliance on Norwegian and Dutch LNG and renewables as buffers, implying further investment in energy infrastructure, digital infrastructure and defence-related assets."
CBRE Investment Management,4/1/2026,Macro House View Q2 2026,https://mediaassets.cbre.com/-/media/project/cbre/bussectors/cbreim/insights/articles/2026/april/macro-house-view-q2-2026/macro-house-view-q2-2026.pdf?rev=79e07eb1b67943c0a892683ebe160bb11,Oil,Alts - Commodities,Commodities,Alternatives,O,Overweight,"CBRE IM has revised its Brent crude forecast to approximately $110/bbl, nearly double the prior $60 forecast. The supply shock from the Strait of Hormuz closure and destruction of 17% of Qatar's LNG capacity means prices remain elevated into 2028. For real assets, elevated energy prices directly impact operating costs, logistics economics and energy-intensive property sectors."
CBRE Investment Management,4/1/2026,Macro House View Q2 2026,https://mediaassets.cbre.com/-/media/project/cbre/bussectors/cbreim/insights/articles/2026/april/macro-house-view-q2-2026/macro-house-view-q2-2026.pdf?rev=79e07eb1b67943c0a892683ebe160bb12,Nat Gas,Alts - Commodities,Commodities,Alternatives,O,Overweight,"European and Asian gas prices forecast at ~$18/MMBTU, up from ~$10 previously. U.S. Henry Hub unchanged. The geographic fragmentation creates asymmetric energy cost exposure across real estate markets. European and Asian properties face structurally higher operating costs, reinforcing the premium for energy-efficient and well-insulated assets."
CBRE Investment Management,4/1/2026,Macro House View Q2 2026,https://mediaassets.cbre.com/-/media/project/cbre/bussectors/cbreim/insights/articles/2026/april/macro-house-view-q2-2026/macro-house-view-q2-2026.pdf?rev=79e07eb1b67943c0a892683ebe160bb13,German Bunds,Fixed Income - Sovereigns Europe,Fixed Income - Rates & Sovereigns,Fixed Income,O,Overweight,"CBRE IM expects elevated risk premia for French and U.K. government bonds relative to German Bunds across the forecast period. Germany's sound public finances and safe-haven status are reinforced by fiscal strain in France, Italy and the U.K. For real estate debt investors, the Bund-referenced cost of capital remains the most attractive in Europe."
CBRE Investment Management,4/1/2026,Macro House View Q2 2026,https://mediaassets.cbre.com/-/media/project/cbre/bussectors/cbreim/insights/articles/2026/april/macro-house-view-q2-2026/macro-house-view-q2-2026.pdf?rev=79e07eb1b67943c0a892683ebe160bb14,RE - US,Alts - Real Estate - North America,Alts - Real Assets Geo,Alternatives,O,Overweight,"CBRE IM's five-year GDP growth forecast for the U.S. is essentially unchanged. Energy independence as a net exporter, the Fed's 'look through' approach, and unchanged Henry Hub gas pricing create a relatively benign environment for U.S. real estate compared to energy-importing peers. Near-term cyclical softness gives way to a robust recovery phase with above-trend growth."
CBRE Investment Management,4/1/2026,Macro House View Q2 2026,https://mediaassets.cbre.com/-/media/project/cbre/bussectors/cbreim/insights/articles/2026/april/macro-house-view-q2-2026/macro-house-view-q2-2026.pdf?rev=79e07eb1b67943c0a892683ebe160bb15,US Treasuries,Fixed Income - Sovereigns North America,Fixed Income - Rates & Sovereigns,Fixed Income,N,Neutral,"The Fed is expected to adopt a 'look through' stance, delaying rate cuts to 2027. CBRE IM notes this aligns with bond market pricing. For real estate, the delayed easing cycle means transaction volumes remain compressed near-term, but the medium-term rate normalisation path is intact."
CBRE Investment Management,4/1/2026,Macro House View Q2 2026,https://mediaassets.cbre.com/-/media/project/cbre/bussectors/cbreim/insights/articles/2026/april/macro-house-view-q2-2026/macro-house-view-q2-2026.pdf?rev=79e07eb1b67943c0a892683ebe160bb16,RE - China,Alts - Real Estate - APAC,Alts - Real Assets Geo,Alternatives,N,Neutral,"China's 10 months of stockpiled oil and regulatory price caps provide real economy resilience. However, CBRE IM revised China's CPI up 60 bps — the largest revision globally. The net effect on real estate fundamentals is mixed: occupier demand is supported by growth resilience but higher inflation may constrain monetary easing and compress real yields."
CBRE Investment Management,4/1/2026,Macro House View Q2 2026,https://mediaassets.cbre.com/-/media/project/cbre/bussectors/cbreim/insights/articles/2026/april/macro-house-view-q2-2026/macro-house-view-q2-2026.pdf?rev=79e07eb1b67943c0a892683ebe160bb17,Euro Govt Bonds,Fixed Income - Sovereigns Europe,Fixed Income - Rates & Sovereigns,Fixed Income,N,Neutral,"The ECB is expected to raise rates twice in 2026 before reversing in 2027. For European real estate debt, this creates near-term margin compression and higher swap rates, but the expected reversal limits medium-term duration risk and supports a stabilising financing environment by 2027."
CBRE Investment Management,4/1/2026,Macro House View Q2 2026,https://mediaassets.cbre.com/-/media/project/cbre/bussectors/cbreim/insights/articles/2026/april/macro-house-view-q2-2026/macro-house-view-q2-2026.pdf?rev=79e07eb1b67943c0a892683ebe160bb18,RE Debt,Alts - Real Estate,Alts - Real Assets,Alternatives,N,Neutral,"ECB rate hikes in 2026 compress European CRE lending margins near-term, but the expected 2027 reversal and infrastructure-driven growth in core markets (Germany, Spain, Sweden) support a stabilising outlook. Differentiation is essential: CRE debt in fiscally sound markets offers better risk-adjusted returns than lending secured against French, Italian or UK assets."
CBRE Investment Management,4/1/2026,Macro House View Q2 2026,https://mediaassets.cbre.com/-/media/project/cbre/bussectors/cbreim/insights/articles/2026/april/macro-house-view-q2-2026/macro-house-view-q2-2026.pdf?rev=79e07eb1b67943c0a892683ebe160bb19,RE - AsiaPac,Alts - Real Estate - APAC,Alts - Real Assets Geo,Alternatives,U,Underweight,"Australia faces the tightest monetary policy globally with the RBA at 4.35% through 2027, explicitly targeting housing market speculation. Consumer spending is dampened, GDP cut 30 bps. For real estate, this is the most hostile DM environment: rising rates compress capital values, the housing crackdown directly weighs on residential, and weakening consumer demand hits retail and discretionary sectors."
CBRE Investment Management,4/1/2026,Macro House View Q2 2026,https://mediaassets.cbre.com/-/media/project/cbre/bussectors/cbreim/insights/articles/2026/april/macro-house-view-q2-2026/macro-house-view-q2-2026.pdf?rev=79e07eb1b67943c0a892683ebe160bb20,RE - Japan,Alts - Real Estate - APAC,Alts - Real Assets Geo,Alternatives,U,Underweight,"The BoJ's acceleration to 2.75% compounds the drag from high energy import dependence. Japan's GDP is revised down 30 bps. For real estate, faster-than-expected rate normalisation raises cap rate expansion risk, particularly in sectors where yield spreads over JGBs have historically been compressed. High energy costs weigh on logistics and industrial operating margins."
