reason_code,message,source_id,chunk_id,sub_asset_raw,sub_asset_class,view,taxonomy_match,evidence_kind,evidence_quote,locator,reasoning,basis,checker_strength,call_language
checker_asset_mismatch,"The quoted bottleneck list (semiconductors, memory, cooling, optical, power equipment) is tech/equipment supply chain, not utility companies; the quote does not name utilities.",janus-henderson-investors-market-gps-investment-outlook-mid-year-2026,p1-5,utilities,Utilities,O,semantic,prose,"Demand is already exceeding supply across semiconductors, memory, cooling systems, optical, and power equipment. Companies operating at these bottlenecks, where capital expenditure shows no sign of slowing, merit consideration.",p.4,Janus Henderson sees power and utility-linked bottlenecks in the AI infrastructure buildout as meriting investor consideration.,stated,thin,directional
taxonomy_no_match,taxonomy_no_match,state-street-market-signals-and-shifts-midyear-update,p16-19,Southeast Asian FX,Southeast Asian FX,U,none,prose,"By contrast, Southeast Asian FX remains under-owned amid fiscal constraints and energy import dependence, while currencies perceived as overvalued on long-term real effective exchange rate (REER) metrics are also being avoided.",p.16,State Street says Southeast Asian FX is under-owned because fiscal constraints and energy import dependence weigh on the bloc.,stated,decisive,directional
taxonomy_no_match,taxonomy_no_match,state-street-market-signals-and-shifts-midyear-update,p16-19,KRW,KRW,O,none,visual,Figure 12 plots KRW well above the 50 real money-FX positioning percentile line and below 0% REER vs 10-year average.,p.17 — 'Figure 12: Idiosyncratic EM FX',State Street shows KRW as highly positioned within the North Asian EM FX group linked to AI and technology exposure.,stated,adequate,explicit_dial
taxonomy_no_match,taxonomy_no_match,state-street-market-signals-and-shifts-midyear-update,p16-19,TWD,TWD,O,none,visual,"Figure 12 plots TWD near the top of the chart, well above the 50 real money-FX positioning percentile line and below 0% REER vs 10-year average.",p.17 — 'Figure 12: Idiosyncratic EM FX',State Street shows TWD as highly positioned within the North Asian EM FX group supported by AI and technology exposure.,stated,adequate,explicit_dial
delta_below_materiality,"forecast delta 10bp is below the 25bp materiality floor (provisional, pending client confirmation)",rbc-wealth-bond-markets-seeing-the-forest-for-the-trees,p1-5,10-year Government of Canada yield,Canada Govt Bonds,U,semantic,prose,"The benchmark 10-year Government of Canada yield has averaged 3.4 percent over the past year, is currently trading around 3.5 percent, and we see it only rising toward 3.6 percent by year-end.",p.4,"RBC sees the 10-year Government of Canada yield rising from around 3.5 percent to 3.6 percent by year-end, implying lower Canadian government-bond prices.",forecast_delta,thin,directional
unresolved_conflict,"multiple views survived validation for the same source/group and leaf; arbiter: These six candidates are not restatements of one stance but genuinely distinct instruments (RMBS, ABS, CLO-AAA, CLO-BBB, and a general securitized-vs-corporates preference) bundled into a single taxonomy leaf, and their published levels genuinely disagree in sign, not just intensity: RMBS (+1) and ABS (+1) are explicit positive dials, the general commentary favors securitized credit broadly, but the CLO section's own printed score nets to neutral (0) precisely because it is a two-sided path — AAA scored +0.5 against BBB scored -1 (rule: 'a two-sided path nets to N ... with both sides quoted'). No single candidate speaks for the whole combined leaf: picking any one O candidate would erase the explicit CLO-BBB caution the house itself prints, and picking the CLO-overall N would erase the equally explicit RMBS/ABS overweight scores on other components of the same leaf. This is rule 5's 'source genuinely holds both views at once' with no primary stance across the bundled components, so winning_index is null and the conflict should route to unresolved-conflict for analyst review.",janus-henderson-investors-multi-sector-credit-asset-allocation-perspectives-defensive-carry-amid-asymmetric-risks,p1-5,securitized credit,Securitized/Structured (ABS/MBS/CDS/Swaps/CLOs),O,semantic,visual,"Asset Allocation Views bullet states: ""We favor the short-duration, high-quality carry available in securitized credit over corporates"" and adds that there is ""more opportunity within RMBS and ABS.""",p.3 — 'Asset Allocation Views' bullet panel,"Janus Henderson favors securitized credit for short-duration, high-quality carry and sees better opportunity in RMBS and ABS than in corporates.",stated,,directional
unresolved_conflict,"multiple views survived validation for the same source/group and leaf; arbiter: These six candidates are not restatements of one stance but genuinely distinct instruments (RMBS, ABS, CLO-AAA, CLO-BBB, and a general securitized-vs-corporates preference) bundled into a single taxonomy leaf, and their published levels genuinely disagree in sign, not just intensity: RMBS (+1) and ABS (+1) are explicit positive dials, the general commentary favors securitized credit broadly, but the CLO section's own printed score nets to neutral (0) precisely because it is a two-sided path — AAA scored +0.5 against BBB scored -1 (rule: 'a two-sided path nets to N ... with both sides quoted'). No single candidate speaks for the whole combined leaf: picking any one O candidate would erase the explicit CLO-BBB caution the house itself prints, and picking the CLO-overall N would erase the equally explicit RMBS/ABS overweight scores on other components of the same leaf. This is rule 5's 'source genuinely holds both views at once' with no primary stance across the bundled components, so winning_index is null and the conflict should route to unresolved-conflict for analyst review.",janus-henderson-investors-multi-sector-credit-asset-allocation-perspectives-defensive-carry-amid-asymmetric-risks,p1-5,RMBS,Securitized/Structured (ABS/MBS/CDS/Swaps/CLOs),O,semantic,visual,"Mortgage-related debt views state: ""RMBS fundamentals remain stable to improving, with resilient housing performance, supportive technicals, and emphasis on short duration, seasoned structures to limit macro sensitivity. (RMBS +1)""",p.4 — 'Mortgage-related debt' score grid,"Janus Henderson scores RMBS positive on stable-to-improving fundamentals, resilient housing performance, supportive technicals, and defensive short-duration structures.",stated,,explicit_dial
unresolved_conflict,"multiple views survived validation for the same source/group and leaf; arbiter: These six candidates are not restatements of one stance but genuinely distinct instruments (RMBS, ABS, CLO-AAA, CLO-BBB, and a general securitized-vs-corporates preference) bundled into a single taxonomy leaf, and their published levels genuinely disagree in sign, not just intensity: RMBS (+1) and ABS (+1) are explicit positive dials, the general commentary favors securitized credit broadly, but the CLO section's own printed score nets to neutral (0) precisely because it is a two-sided path — AAA scored +0.5 against BBB scored -1 (rule: 'a two-sided path nets to N ... with both sides quoted'). No single candidate speaks for the whole combined leaf: picking any one O candidate would erase the explicit CLO-BBB caution the house itself prints, and picking the CLO-overall N would erase the equally explicit RMBS/ABS overweight scores on other components of the same leaf. This is rule 5's 'source genuinely holds both views at once' with no primary stance across the bundled components, so winning_index is null and the conflict should route to unresolved-conflict for analyst review.",janus-henderson-investors-multi-sector-credit-asset-allocation-perspectives-defensive-carry-amid-asymmetric-risks,p1-5,Collateralized loan obligations (CLOs),Securitized/Structured (ABS/MBS/CDS/Swaps/CLOs),N,semantic,visual,"Collateralized loan obligations (CLOs) score grid is shaded at 0; score rationale shows ""(0 new | +0.5 prior)"".",p.5 — 'Collateralized loan obligations (CLOs)' score grid,Janus Henderson sets CLOs overall at neutral because senior tranche value is balanced against rising mezzanine risk.,stated,,explicit_dial
unresolved_conflict,"multiple views survived validation for the same source/group and leaf; arbiter: These six candidates are not restatements of one stance but genuinely distinct instruments (RMBS, ABS, CLO-AAA, CLO-BBB, and a general securitized-vs-corporates preference) bundled into a single taxonomy leaf, and their published levels genuinely disagree in sign, not just intensity: RMBS (+1) and ABS (+1) are explicit positive dials, the general commentary favors securitized credit broadly, but the CLO section's own printed score nets to neutral (0) precisely because it is a two-sided path — AAA scored +0.5 against BBB scored -1 (rule: 'a two-sided path nets to N ... with both sides quoted'). No single candidate speaks for the whole combined leaf: picking any one O candidate would erase the explicit CLO-BBB caution the house itself prints, and picking the CLO-overall N would erase the equally explicit RMBS/ABS overweight scores on other components of the same leaf. This is rule 5's 'source genuinely holds both views at once' with no primary stance across the bundled components, so winning_index is null and the conflict should route to unresolved-conflict for analyst review.",janus-henderson-investors-multi-sector-credit-asset-allocation-perspectives-defensive-carry-amid-asymmetric-risks,p1-5,Senior CLOs / AAA CLOs,Securitized/Structured (ABS/MBS/CDS/Swaps/CLOs),O,semantic,visual,"CLO views state: ""Senior CLOs, particularly in Europe, offer compelling relative value with short duration and spreads competitive with IG corporates despite lower credit risk. (AAA +0.5)""",p.5 — 'Collateralized loan obligations (CLOs)' score grid,"Janus Henderson is positive on senior AAA CLOs, especially in Europe, because they offer short-duration carry and competitive spreads with lower credit risk.",stated,,explicit_dial
unresolved_conflict,"multiple views survived validation for the same source/group and leaf; arbiter: These six candidates are not restatements of one stance but genuinely distinct instruments (RMBS, ABS, CLO-AAA, CLO-BBB, and a general securitized-vs-corporates preference) bundled into a single taxonomy leaf, and their published levels genuinely disagree in sign, not just intensity: RMBS (+1) and ABS (+1) are explicit positive dials, the general commentary favors securitized credit broadly, but the CLO section's own printed score nets to neutral (0) precisely because it is a two-sided path — AAA scored +0.5 against BBB scored -1 (rule: 'a two-sided path nets to N ... with both sides quoted'). No single candidate speaks for the whole combined leaf: picking any one O candidate would erase the explicit CLO-BBB caution the house itself prints, and picking the CLO-overall N would erase the equally explicit RMBS/ABS overweight scores on other components of the same leaf. This is rule 5's 'source genuinely holds both views at once' with no primary stance across the bundled components, so winning_index is null and the conflict should route to unresolved-conflict for analyst review.",janus-henderson-investors-multi-sector-credit-asset-allocation-perspectives-defensive-carry-amid-asymmetric-risks,p1-5,BBB CLOs,Securitized/Structured (ABS/MBS/CDS/Swaps/CLOs),U,semantic,visual,"CLO views state: ""BBB CLOs appear rich relative to both loans and BDCs. (BBB -1)""",p.5 — 'Collateralized loan obligations (CLOs)' score grid,Janus Henderson scores BBB CLOs negative because mezzanine risk has increased and BBB CLOs appear rich relative to loans and BDCs.,stated,,explicit_dial
